,name,location,id,rating,review_count,price,latitude,longitude
90,Baja Viajes,"Plutarco Elias Calles 9196-D Col. Zona Centro 22000 Tijuana, Baja California Mexico",9LoVoBR2UemAgeZ0UxWBxQ,5.0,2,,32.525173,-117.026242
91,Take Me To Baja,"San Diego, CA 92101",JH6-XE_AZF-0_lhPTTx6zA,3.5,3,,32.7176361083984,-117.162132263184
92,Divine Wine & Spirits,"6585 Osler St Ste 100 San Diego, CA 92111",KGkjZeHGtLwOLHbYXn6nzQ,5.0,4,,32.79197,-117.1759
93,Panevino,"Centro Comercial Rocasa Blvd. Agua Caliente 3400-14A 22420 Tijuana, Baja California Mexico",vTwZzBOAOVxT-GIP8YhSRA,4.0,7,$$,32.5232574,-117.0338075
94,Licores Kentucky,"Calle Puerto y 3ra S/N Col. Centro 22000 Tijuana, Baja California Mexico",B7gID-M2EsdpthrTcwTNYA,5.0,1,,32.534236,-117.034976
95,California Coast Limo,"San Diego, CA 92104",apX0C_Sb4cxquccWBou1KA,5.0,41,,32.7456146222639,-117.142368990043
96,San Diego Sunshine,"432 Maple St Ste 6 Ramona, CA 92065",bpNfsJ916FcpQ-Kqz59Jgg,5.0,31,$,33.04604,-116.87653
97,Boca Roja Baja Wine Adventures,"San Diego, CA 92130",JACl8HdJ59v9Q3t4YMsR8w,5.0,242,,32.9436607,-117.2088167
98,Sip Wine & Beer,"129-131 S Orange St Escondido, CA 92025",J8p9ZucL3qzANykt0qaoVA,4.5,75,$$,33.11918,-117.08546
99,Barrica 9,"Av. Revolución 1265 Col. Zona Centro 22000 Tijuana, Baja California Mexico",HxTqmzT4G43iAKXrB3pqQg,4.5,7,$$,32.53043,-117.0365
100,The Wine Bank,"363 5th Ave Ste 100 San Diego, CA 92101",DVAxECR4PZs2FDg8CVQpFg,3.0,129,$$,32.7091293334961,-117.159812927246
101,Tijuana Private Driver,"Tijuana, Baja California Mexico",Tb6JUYRnzpuAUlKE6HgDrQ,5.0,46,,32.531194137936,-117.119191065431
102,Bobar Liquor II,"1777 Palm Ave San Diego, CA 92154",iZGguWv3-r8ohAHIOj7guQ,3.5,5,$,32.583574,-117.0951068
103,North County Wine Company,"1099 W San Marcos Blvd San Marcos, CA 92078",j8_E3l6EacpAG-A_HvQ3Lg,4.5,112,$$,33.133623,-117.190933
104,San Diego Wine & Culinary Event Center,"200 Harbor Dr Ste 120 San Diego, CA 92101",0m0bZscL906w3cOZmZpeXw,3.5,56,,32.708917,-117.162494
105,Base Liquor ,"3201 National Ave San Diego, CA 92113",qrO5-TPqXUaNHKjhaKejGA,5.0,3,$$,32.6958168233404,-117.125198566201
106,Gold Coast Town Car Services,"San Diego, CA 92168",nWz99DAS6CNkBr5IEKm0Bw,5.0,96,,32.7685508728027,-117.148399353027
107,BevMo,"5644 Mission Center Rd Store  155 San Diego, CA 92108",v5xXA7RmmLU45xsrzfXx_g,3.5,59,$$,32.7743044661533,-117.157130981543
108,A Big Van San Diego Shuttle,"San Diego, CA 92103",rFwFt-nxhKdTnwdL1VOA3A,4.5,54,,32.7473487854004,-117.166870117188
109,Born & Raised,"1909 India St San Diego, CA 92101",4imUXuNwJCDQS5xFdlFVrQ,4.0,1519,$$$$,32.7246252324982,-117.168528623879
110,Del Mission Liquor,"135 Washington St San Diego, CA 92103",TR5ZtmHtRDM9HLFhl6UM_g,3.0,17,$$,32.74963,-117.16309
111,Baja Rides and Tours,"22000 Tijuana, Baja California Mexico",NF9T2Sm2nNqDof_9i5Vq-w,5.0,2,,32.53508,-117.04097
112,Meritage Wine Market & Tasting Room,"162 S Rancho Santa Fe Rd Ste A10 Encinitas, CA 92024",fJEd02y3--LMx1nG9ABQTw,4.0,21,$$,33.0359093272192,-117.238640793918
113,Lakehouse Hotel and Resort,"1025 La Bonita Dr San Marcos, CA 92078",qI6wHRM1PDnOpL3cyRZN6A,4.0,591,$$,33.1246564,-117.2074842
114,"RL Liquid Assets, Inc","5909 Sea Lion Pl Ste G Carlsbad, CA 92010",-STecUUsS69EMSE7PxwPwA,3.0,2,,33.134743,-117.248093
115,Brindis,"Plaza Rocasa Blvd. Agua Caliente 10594 Tijuana, Baja California Mexico",ERz29G98zWx1G2NJ67lxdw,3.0,3,,32.5120926,-117.0014725
116,Meze Greek Fusion,"345 6th Ave San Diego, CA 92101",4D16FWeW_fw3LCIdPRRbdQ,4.5,2493,$$,32.7089389055774,-117.158911088688
117,Leyva's Liquor,"Av. Revolución 1026 Col. Centro 22000 Tijuana, Baja California Mexico",Xf0H038WA-DfjT1BmuU-sw,4.5,8,,32.5304795725031,-117.036234989767
118,Par Liquor and Deli Clairemont,"5199 Clairemont Mesa Blvd San Diego, CA 92117",7P9kg1TRVKHQVvgJY9SyTA,3.5,27,$$,32.834305241704,-117.179513275623
119,Point Loma Liquor,"1507 Rosecrans St San Diego, CA 92106",YtmVdu2a_lzcBI0iyzWtew,4.0,5,$,32.7261835,-117.2276901
120,La Valencia Hotel,"1132 Prospect St La Jolla, CA 92037",4cbeyNrtc1l5IODjYu3kDA,4.0,683,$$$,32.84861,-117.27375
121,San Diego Hotlimos and Party Bus,"140 W Bradley El Cajon, CA 92020",jZuzg_c-z1zlYqgfoc0C8A,4.0,70,,32.8191632,-116.9641215
122,The Wine Connection,"2650 Via De La Valle Del Mar, CA 92014",u24hl436JeU5FbEalGt-xw,4.0,40,$$,32.9807259,-117.2502455
123,Icon Helicopters,"2100 Palomar Airport Rd Carlsbad, CA 92011",y1cBA-owdHdpgQsVuguiQA,5.0,5,,33.127687,-117.278182
124,Ingela Floral Design,"San Diego, CA 92104",ur_h4Fj8Ha5H3jBBfcR8rg,5.0,30,,32.7419700622559,-117.128723144531
125,Wright Trammel Transportation,"603 Main St Ste 8 Ramona, CA 92065",ePg5cPo22wuOluB1m_EjwA,5.0,15,,33.0455332,-116.8624832
126,Lomas Santa Fe Country Club,"1505 Lomas Santa Fe Drive Solana Beach, CA 92075",oCOS5AOHqK1dWLCyDTw-5Q,4.5,32,,32.994939491539,-117.240047518814
127,Black Onyx Limo,"1360 N Magnolia Ave El Cajon, CA 92020",GTp01nGag6fFLzTJlphE_w,4.5,90,,32.81516,-116.96328
128,Wow Cafe,"333 S Twin Oaks Valley Rd San Marcos, CA 92078",ITeHTHYUU8qOVm914dn5nw,1.5,8,,33.129076,-117.159646
129,Fred's Playland,"- - San Diego, CA 92101",LvTN_0404YpwuD1Kxg5YiQ,5.0,14,,32.7269669,-117.1647094
130,Continental Catering,"8238 Parkway Dr La Mesa, CA 91942",z8EGMyz63V4ijt2EAeTYlA,4.5,161,,32.7767536,-117.0198114
131,Starlite Limousines,"Carlsbad, CA 92009",ATU8s2DvRwboJNxYRnjZoQ,4.0,25,,33.102663,-117.267475
